image_name,Side_coinWidth,Side_coinHeigth,Top_coinWidth,Top_coinHeigth,Side_foodWidth,Side_foodHeigth,Top_foodWidth,Top_foodHeigth,food_label,Side_coinForeground_pixel,Top_coinForeground_pixel,Side_foodForeground_pixel,Top_foodForeground_pixel,realVolume,realDensity
egg002,73,71,76,74,120,123,167,123,ellipsoid,3634,3890,11945,16264,50,1.24
egg002,79,76,76,75,149,127,132,196,ellipsoid,4265,4065,14916,19241,50,1.24
egg001,65,60,65,65,129,102,107,155,ellipsoid,2753,2706,10054,12935,50,1.14
egg001,64,61,67,65,103,104,124,161,ellipsoid,2757,2891,8056,14658,50,1.14
egg003,66,63,65,65,137,102,109,143,ellipsoid,2918,3157,10317,12274,50,1.09
egg005,75,69,58,58,126,140,109,146,ellipsoid,3592,2262,13137,10515,50,1.19
egg005,74,71,58,59,151,139,135,107,ellipsoid,3646,2285,15359,11678,50,1.19
egg006,75,73,66,64,152,116,155,116,ellipsoid,3748,2941,13289,13670,50,1.14
egg006,73,71,69,66,152,130,121,167,ellipsoid,3724,3044,14355,16491,50,1.14
egg007,70,67,58,57,162,110,102,159,ellipsoid,3375,2192,14034,11870,60,1.1483333333333334
egg007,69,67,70,66,117,121,118,191,ellipsoid,3265,3071,11009,17422,60,1.1483333333333334
egg004,76,75,60,62,138,125,146,102,ellipsoid,3945,2456,13316,11351,50,1.1840000000000002
doughnut003,103,97,79,73,334,165,273,261,irregular,7235,4073,44762,55805,220,0.305
doughnut004,66,66,71,68,245,95,285,272,irregular,3326,3339,19835,56674,200,0.3125
doughnut004,66,65,70,69,238,95,262,284,irregular,3246,3346,15426,57800,200,0.3125
doughnut004,65,64,69,66,276,93,251,276,irregular,3214,3083,20594,51913,200,0.3125
doughnut005,66,65,67,64,257,93,265,239,irregular,3461,2826,20856,46758,220,0.2927272727272728
doughnut005,66,61,70,66,286,86,264,289,irregular,3223,3040,19821,57545,220,0.2927272727272728
doughnut005,67,63,65,65,271,91,263,282,irregular,3167,2900,19421,51412,220,0.2927272727272728
doughnut006,65,64,68,66,252,91,279,281,irregular,3219,3337,8507,55193,160,0.41375
doughnut006,66,65,67,65,267,86,280,273,irregular,3214,3088,17274,57205,160,0.41375
doughnut006,65,64,68,62,261,87,243,266,irregular,3243,90,16786,50976,160,0.41375
doughnut002,115,105,66,64,390,188,247,245,irregular,9268,2726,58458,42790,220,0.29818181818181816
doughnut002,123,112,70,70,415,178,274,276,irregular,10519,3455,53043,59905,220,0.29818181818181816
doughnut008,76,73,63,62,298,93,259,210,irregular,4007,2667,23268,42062,170,0.32176470588235295
doughnut008,79,75,59,59,253,98,231,211,irregular,4057,2301,21077,34136,170,0.32176470588235295
doughnut008,70,73,67,63,252,90,245,272,irregular,3680,2780,14530,49249,170,0.32176470588235295
doughnut009,73,72,69,67,255,90,269,293,irregular,3831,3138,18230,54767,180,0.28111111111111114
doughnut009,73,73,70,67,289,92,262,272,irregular,3925,2764,18017,60353,180,0.28111111111111114
doughnut009,74,74,63,62,267,80,244,249,irregular,3864,2544,17193,50005,180,0.28111111111111114
doughnut007,72,72,67,65,258,100,235,243,irregular,3721,2795,20922,46467,190,0.27578947368421053
doughnut007,69,71,68,67,266,93,252,272,irregular,3575,3131,20745,51224,190,0.27578947368421053
doughnut007,71,73,66,63,287,102,246,264,irregular,3557,2669,17786,50468,190,0.27578947368421053
doughnut001,123,122,66,67,428,192,253,253,irregular,11503,3445,63539,50631,170,0.28823529411764703
apple007,80,75,57,58,265,269,246,261,ellipsoid,4313,2393,53787,44982,420,0.7738095238095238
apple006,81,78,66,67,279,263,243,249,ellipsoid,4830,2981,58752,47145,290,0.8206896551724138
apple015,69,66,65,61,221,215,234,229,ellipsoid,3229,115,38452,40304,390,0.7525641025641026
apple015,67,64,66,64,234,210,300,288,ellipsoid,3400,392,37336,60072,390,0.7525641025641026
apple014,66,67,65,63,213,213,236,229,ellipsoid,40,2641,31800,38355,290,0.8137931034482758
apple014,81,79,60,60,290,250,226,213,ellipsoid,4657,2361,57581,34378,290,0.8137931034482758
apple019,52,54,38,40,239,242,137,132,ellipsoid,19,1034,41905,13696,300,0.85
apple019,53,56,34,35,213,207,130,119,ellipsoid,2145,838,32282,11855,300,0.85
apple016,71,67,66,63,225,206,245,256,ellipsoid,3585,3076,35901,46594,330,0.8257575757575758
apple016,67,67,62,62,234,219,242,262,ellipsoid,3548,2631,41341,43255,330,0.8257575757575758
apple016,72,69,63,62,234,220,245,258,ellipsoid,3821,2722,39828,45401,330,0.8257575757575758
apple016,70,67,65,62,218,229,220,228,ellipsoid,3698,2880,37688,38206,330,0.8257575757575758
apple018,66,62,66,64,221,195,248,263,ellipsoid,3071,2844,31620,43771,290,0.7982758620689655
apple018,65,61,56,59,208,188,210,214,ellipsoid,2979,2206,30080,34463,290,0.7982758620689655
apple004,117,117,69,67,366,379,273,276,ellipsoid,10413,3232,111814,51964,300,0.78
apple017,73,70,59,58,235,224,223,236,ellipsoid,3678,2295,42218,37896,330,0.7727272727272727
apple017,72,70,58,59,237,215,214,228,ellipsoid,3509,2163,41995,35951,330,0.7727272727272727
apple017,70,69,62,60,236,203,245,249,ellipsoid,3559,2687,40762,43073,330,0.7727272727272727
apple017,73,71,61,60,244,234,233,229,ellipsoid,3698,2335,42889,38875,330,0.7727272727272727
apple017,76,74,56,57,247,226,208,219,ellipsoid,4364,2066,43509,33558,330,0.7727272727272727
apple001,59,56,61,56,222,189,228,222,ellipsoid,2033,2411,31893,37131,310,0.7887096774193548
apple012,79,71,64,67,245,218,235,246,ellipsoid,3961,2849,42078,40953,310,0.7935483870967742
apple002,120,113,67,64,333,333,229,252,ellipsoid,9585,2932,89683,40620,290,0.8017241379310345
apple005,93,91,57,55,291,325,198,211,ellipsoid,5994,2471,73937,31085,280,0.7589285714285714
apple011,75,70,60,61,231,218,244,243,ellipsoid,4153,2494,39114,43291,310,0.7419354838709677
apple010,83,77,61,63,285,270,240,268,ellipsoid,4505,2458,55695,44590,330,0.7893939393939394
apple003,97,96,66,63,301,304,237,261,ellipsoid,7266,2850,71785,42479,280,0.7821428571428571
apple013,58,57,49,50,194,196,159,165,ellipsoid,2445,1628,28687,19606,350,0.7214285714285714
apple013,73,67,56,52,219,223,189,211,ellipsoid,44,1926,39507,29170,350,0.7214285714285714
apple008,79,75,64,66,257,233,246,270,ellipsoid,4818,3120,44638,49928,300,0.7933333333333333
apple009,75,72,65,69,260,255,294,286,ellipsoid,3892,3296,52021,56037,360,0.8013888888888889
orange005,95,89,72,72,240,248,214,232,ellipsoid,6141,3948,45991,35963,150,0.926
orange007,68,67,68,68,201,172,199,250,ellipsoid,3617,3405,25035,39700,220,0.8400000000000001
orange007,70,65,67,62,172,184,211,199,ellipsoid,2990,2791,21671,33003,220,0.8400000000000001
orange014,48,47,40,38,155,126,121,141,ellipsoid,20,1070,15424,11336,160,1.046875
orange004,95,92,70,69,295,281,252,253,ellipsoid,6990,3436,64508,45853,260,0.8384615384615385
orange001,87,81,63,61,238,237,190,239,ellipsoid,5258,2698,44251,35085,160,1.378125
orange006,75,72,64,66,184,189,211,210,ellipsoid,4221,2921,28402,36070,200,0.8965000000000001
orange012,50,49,80,148,138,157,38,35,ellipsoid,20,2428,17094,0,200,0.8865000000000001
orange003,114,107,93,96,343,301,280,356,ellipsoid,8787,5713,80350,78324,210,0.9642857142857143
orange003,113,108,92,94,297,329,338,305,ellipsoid,9118,6013,78843,77946,210,0.9642857142857143
orange009,59,59,66,63,186,188,217,226,ellipsoid,2454,2939,28431,38493,220,0.9522727272727273
orange009,64,60,70,69,187,188,231,239,ellipsoid,2454,3045,28146,40916,220,0.9522727272727273
orange009,61,60,64,63,187,181,212,204,ellipsoid,2553,2448,26663,33407,220,0.9522727272727273
orange010,69,67,65,65,202,195,220,227,ellipsoid,3229,2900,30466,39441,260,0.9
orange010,68,65,71,72,200,190,260,266,ellipsoid,3492,3633,28943,51974,260,0.9
orange013,46,45,39,37,121,114,104,112,ellipsoid,46,1043,10787,9228,190,0.8542105263157895
orange015,66,61,38,37,168,160,126,120,ellipsoid,3001,996,21077,10720,130,1.3823076923076922
orange008,61,59,74,70,185,169,243,296,ellipsoid,2719,3319,23767,52575,270,0.8611111111111112
orange008,62,57,69,67,195,172,239,244,ellipsoid,2722,3296,25483,45117,270,0.8611111111111112
orange008,60,59,64,63,188,170,209,234,ellipsoid,29,2646,25708,38204,270,0.8611111111111112
orange008,60,58,62,59,212,172,239,227,ellipsoid,2714,2576,27709,40934,270,0.8611111111111112
orange002,99,91,74,77,269,288,302,281,ellipsoid,6779,4058,62422,66463,280,0.7067857142857144
orange011,64,63,64,63,214,193,221,219,ellipsoid,2982,2930,31605,39293,250,0.888
orange011,65,62,66,67,222,195,234,249,ellipsoid,2825,3009,31044,45823,250,0.888
orange011,67,61,65,64,214,203,235,237,ellipsoid,2994,2947,32427,44164,250,0.888
bread003,97,94,69,66,499,90,296,306,column,7083,2855,33713,74085,160,0.1625
bread001,97,90,66,67,394,111,393,387,column,6012,3082,37156,79641,140,0.19
bread001,89,87,69,69,419,102,283,329,column,6000,3180,33919,78200,140,0.19
bread006,82,78,64,68,371,67,339,345,column,4766,3038,18440,74457,140,0.20285714285714285
bread002,97,96,65,66,480,135,357,348,column,7375,2848,45381,73931,150,0.192
bread007,83,76,83,80,295,59,363,409,column,4346,4791,2972,112750,140,0.2357142857142857
bread007,89,87,82,82,423,94,370,423,column,5495,4853,29511,122030,140,0.2357142857142857
bread004,128,136,61,59,536,86,303,331,column,14393,2511,37876,54561,170,0.16294117647058823
bread005,78,76,77,77,389,79,404,468,column,4435,3973,22954,98156,170,0.1552941176470588
bun002,70,68,66,63,236,141,275,233,irregular,3334,2792,22048,46324,230,0.4069565217391304
bun001,60,64,78,76,197,157,230,291,irregular,2584,4045,21112,53114,210,0.3828571428571429
bun001,60,63,63,66,191,168,238,199,irregular,2479,3182,21854,37756,210,0.3828571428571429
bun003,76,75,64,64,287,188,284,254,irregular,4059,2928,38169,46086,270,0.3451851851851852
bun008,67,64,69,64,196,137,185,267,irregular,38,2780,20194,39311,200,0.3475
bun007,67,68,58,60,315,127,273,240,irregular,3283,2326,28539,46585,260,0.32461538461538464
bun004,87,85,66,68,235,159,307,211,irregular,85,3460,27017,40835,270,0.31074074074074076
bun004,88,86,67,71,345,171,301,206,irregular,5716,3372,48871,47565,270,0.31074074074074076
bun006,81,79,58,57,312,169,242,202,irregular,4439,2186,41354,38442,260,0.30115384615384616
bun006,80,79,61,59,320,190,207,243,irregular,4691,2211,48598,38104,260,0.30115384615384616
bun005,72,71,63,64,242,193,213,225,irregular,3610,2692,35289,40490,210,0.32904761904761903
banana003,83,74,64,66,427,116,158,355,irregular,4508,2633,37877,34250,150,0.9266666666666666
banana007,69,66,69,63,383,95,379,241,irregular,3159,3094,30816,47703,150,0.9426666666666667
banana010,74,77,66,65,520,105,211,412,irregular,4136,2830,44875,45736,190,0.9131578947368421
banana010,80,76,61,60,502,94,210,398,irregular,4310,2389,31797,68517,190,0.9131578947368421
banana002,108,110,93,96,318,182,668,388,irregular,9824,6458,49255,180986,170,0.9229411764705883
banana006,75,72,78,75,458,105,476,438,irregular,4165,4399,36377,114763,150,0.96
banana011,73,69,59,62,358,91,198,347,irregular,34,2559,28186,35978,130,0.986923076923077
banana011,73,67,60,63,380,93,199,350,irregular,36,2578,26836,55870,130,0.986923076923077
banana009,67,65,57,57,507,107,282,582,irregular,3099,2218,44659,117306,210,0.8738095238095238
banana009,67,65,56,53,540,96,242,465,irregular,3500,1987,40869,90092,210,0.8738095238095238
banana015,52,49,38,35,279,82,241,125,irregular,1914,934,18703,15758,170,0.9694117647058824
banana015,60,57,34,35,184,80,218,110,irregular,2663,851,12804,12737,170,0.9694117647058824
banana012,63,62,61,60,338,73,166,361,irregular,3004,2648,12233,49514,140,0.8364285714285714
banana012,65,65,67,68,312,81,194,352,irregular,3115,3088,20728,55065,140,0.8364285714285714
banana013,67,65,56,54,413,89,209,400,irregular,3296,2137,28672,34115,190,0.8426315789473684
banana013,61,60,61,61,450,84,177,416,irregular,2783,2626,27546,53212,190,0.8426315789473684
banana008,74,70,61,64,519,99,445,244,irregular,3751,2782,41206,54739,170,0.9123529411764706
banana014,79,76,66,61,476,129,229,433,irregular,4417,2287,50162,57209,170,0.9235294117647059
banana014,83,82,66,66,411,124,250,461,irregular,5562,2963,40005,71788,170,0.9235294117647059
banana004,95,96,69,68,540,159,406,286,irregular,7403,0,64477,44164,200,0.7979999999999999
banana005,95,90,69,69,341,128,259,465,irregular,6404,2962,28432,86874,150,1.0233333333333334
banana001,55,53,55,55,326,93,369,140,irregular,2186,2154,24868,29662,150,0.9986666666666667
fired_dough_twist007,56,53,36,37,152,92,65,152,irregular,2329,931,9479,6911,60,0.64
fired_dough_twist007,57,56,33,35,252,95,152,66,irregular,2404,699,18495,6161,60,0.64
fired_dough_twist006,39,38,37,36,148,49,157,64,irregular,1113,831,4878,6635,50,0.804
fired_dough_twist006,39,39,31,35,160,47,59,141,irregular,1088,686,1501,5785,50,0.804
fired_dough_twist005,77,75,69,67,294,102,123,260,irregular,4018,2918,15838,22846,90,0.5011111111111112
fired_dough_twist005,79,76,70,68,350,122,122,284,irregular,4502,3321,18605,23844,90,0.5011111111111112
fired_dough_twist004,75,73,68,66,273,109,115,269,irregular,4381,2870,16509,22730,60,0.66
fired_dough_twist004,77,74,71,68,237,110,127,284,irregular,3897,3322,0,23726,60,0.66
fired_dough_twist001,75,71,67,66,294,115,104,312,irregular,42,2835,19559,22344,60,0.63
fired_dough_twist001,76,72,58,59,309,114,105,270,irregular,4278,2451,18880,20445,60,0.63
fired_dough_twist003,80,77,63,64,303,110,114,266,irregular,4587,2778,20961,20124,80,0.52125
fired_dough_twist003,83,79,63,59,324,119,95,253,irregular,4578,2619,24020,16293,80,0.52125
fired_dough_twist002,77,73,63,62,271,129,113,246,irregular,4457,2511,20867,17479,70,0.6557142857142857
fired_dough_twist002,79,73,66,65,272,144,132,275,irregular,4175,2885,23618,25467,70,0.6557142857142857
qiwi001,74,70,72,69,220,158,180,253,ellipsoid,3663,3490,22635,35350,180,0.8577777777777779
qiwi003,73,69,54,55,159,182,124,156,ellipsoid,3810,2229,22712,15323,170,0.8505882352941176
qiwi008,64,61,46,47,93,93,81,105,ellipsoid,2902,1327,7438,7003,50,1.042
qiwi008,64,61,64,64,102,98,119,139,ellipsoid,2924,3131,8228,12478,50,1.042
qiwi005,71,67,66,62,179,146,143,198,ellipsoid,3275,2691,20683,24132,190,1.0315789473684212
qiwi005,68,69,61,63,194,141,148,204,ellipsoid,3573,2745,21318,25939,190,1.0315789473684212
qiwi004,79,78,65,67,246,187,235,194,ellipsoid,4674,3266,39713,35744,180,1.0322222222222224
qiwi004,66,66,68,67,221,161,184,236,ellipsoid,3421,50,22150,33444,180,1.0322222222222224
qiwi007,67,69,65,61,183,160,161,150,ellipsoid,27,2433,18483,17869,160,0.9512499999999999
qiwi007,70,70,62,62,158,153,132,192,ellipsoid,3805,2448,19695,21145,160,0.9512499999999999
qiwi006,77,77,70,70,193,166,200,185,ellipsoid,4093,3480,26016,30589,120,1.0625
qiwi006,63,63,66,65,142,116,159,185,ellipsoid,24,2693,42,24413,120,1.0625
qiwi002,71,69,81,86,163,150,263,269,ellipsoid,59,4857,15257,52716,150,1.0326666666666666
grape001,66,63,50,54,508,450,378,347,column,3127,1786,78290,90219,450,0.9955555555555555
grape001,68,64,54,56,457,267,392,354,column,3345,1686,65471,78651,450,0.9955555555555555
grape002,67,64,60,59,310,226,276,328,column,3132,2649,38923,50149,240,0.9145833333333333
grape002,66,63,63,62,291,199,293,331,column,3037,2695,40078,62285,240,0.9145833333333333
grape002,68,66,64,62,269,199,305,339,column,3276,2663,38194,57295,240,0.9145833333333333
pear005,49,50,30,31,47,49,89,86,irregular,12,627,33,5844,200,0.9875
pear006,48,46,38,38,127,129,115,131,irregular,1678,0,11561,10757,230,0.8717391304347826
pear006,47,45,38,38,179,135,113,138,irregular,1670,1020,13797,11184,230,0.8717391304347826
pear004,69,63,67,60,185,191,203,215,irregular,44,2478,27111,30809,260,0.95
pear004,65,63,60,57,178,189,192,194,irregular,3042,0,23616,27170,260,0.95
pear004,64,64,61,64,211,201,216,208,irregular,3239,2792,30981,33275,260,0.95
pear001,62,65,64,60,184,204,199,213,irregular,2872,2368,26922,29455,260,0.9576923076923077
pear001,63,64,69,69,191,189,239,239,irregular,2887,3098,25128,40522,260,0.9576923076923077
pear001,62,61,65,67,203,204,225,241,irregular,2737,2999,28577,39388,260,0.9576923076923077
pear003,73,70,55,56,209,218,199,202,irregular,3952,2249,33445,29131,290,0.9655172413793104
pear003,72,70,69,67,197,228,221,226,irregular,3782,3309,32054,39228,290,0.9655172413793104
pear003,72,68,58,58,188,228,195,200,irregular,3683,2247,32055,28884,290,0.9655172413793104
pear002,75,73,56,59,200,195,176,188,irregular,4143,2215,31136,23919,210,0.9785714285714285
pear002,72,69,61,60,207,207,204,187,irregular,3618,2334,32539,27915,210,0.9785714285714285
pear002,63,65,61,60,183,192,186,180,irregular,2906,2369,26194,26353,210,0.9785714285714285
mango008,68,63,78,76,205,105,179,262,irregular,3132,4152,14941,33292,110,0.9063636363636364
mango008,68,65,68,71,204,109,152,220,irregular,3141,3291,16912,25957,110,0.9063636363636364
mango010,66,63,78,76,212,111,281,190,irregular,3307,4074,16249,35618,90,1.1588888888888889
mango010,64,64,64,66,142,99,159,248,irregular,3137,3063,10663,26983,90,1.1588888888888889
mango001,68,69,63,61,194,159,170,233,irregular,3489,2424,21374,29214,180,1.0683333333333334
mango001,73,70,62,61,195,159,234,162,irregular,3579,2327,23079,29270,180,1.0683333333333334
mango002,72,70,77,73,186,141,205,264,irregular,3876,3591,18021,40161,130,1.1576923076923078
mango002,68,70,62,62,250,145,166,228,irregular,3499,2509,25854,26016,130,1.1576923076923078
mango005,70,67,65,64,186,98,136,183,irregular,3400,2787,12813,16636,50,1.3659999999999999
mango005,70,67,63,63,192,97,128,192,irregular,3374,2837,13919,18090,50,1.3659999999999999
mango009,85,81,61,58,169,158,220,136,irregular,4905,2548,18657,21991,80,1.0775000000000001
mango009,83,82,62,62,251,113,154,217,irregular,5212,2613,23199,23100,80,1.0775000000000001
mango004,68,65,73,72,164,87,198,153,irregular,3423,3498,9762,21209,60,0.9183333333333333
mango004,66,63,68,70,170,95,135,188,irregular,3163,3566,10864,18825,60,0.9183333333333333
mango006,71,68,59,60,217,101,119,198,irregular,3332,2719,15785,18711,90,0.9733333333333333
mango006,69,66,78,74,228,104,166,234,irregular,3652,3739,16923,29738,90,0.9733333333333333
mango006,69,66,70,66,216,100,147,215,irregular,40,3512,15858,22582,90,0.9733333333333333
mango003,73,68,69,67,262,167,204,272,irregular,56,3141,35812,41644,200,1.015
mango003,72,70,57,58,203,156,184,224,irregular,3685,2300,23319,30020,200,1.015
mango007,62,66,69,66,160,95,131,204,irregular,2792,3138,11562,20888,50,1.4180000000000001
mango007,62,62,75,66,180,89,209,142,irregular,2886,3329,11605,22504,50,1.4180000000000001
peach002,70,69,53,52,156,169,127,136,ellipsoid,3503,1911,19683,13083,110,0.9618181818181818
peach002,73,69,65,62,143,149,152,161,ellipsoid,3512,2684,18100,19571,110,0.9618181818181818
peach005,63,61,82,80,166,165,247,283,ellipsoid,2724,4106,21994,53211,150,1.0566666666666666
peach005,63,59,75,77,205,162,213,259,ellipsoid,2844,3851,26170,39939,150,1.0566666666666666
peach003,72,70,64,60,168,169,152,171,ellipsoid,4027,2507,21083,19933,110,0.9827272727272727
peach004,66,61,65,63,134,123,144,156,ellipsoid,2725,2752,13337,18260,90,1.068888888888889
peach004,62,60,78,76,134,127,210,208,ellipsoid,2708,3946,13384,28432,90,1.068888888888889
peach004,63,58,69,64,140,152,161,169,ellipsoid,2707,2317,17805,20371,90,1.068888888888889
peach001,64,66,61,61,161,152,65,64,ellipsoid,3220,2492,18654,2684,100,1.038
peach001,66,67,62,61,157,148,151,169,ellipsoid,3082,2642,17506,20270,100,1.038
mooncake005,66,65,68,68,140,73,144,159,column,3248,3280,6913,14824,60,0.7883333333333333
mooncake005,64,62,72,73,143,65,151,161,column,2945,3898,7001,16451,60,0.7883333333333333
mooncake001,67,64,67,63,129,65,119,125,column,3126,3044,6421,9065,40,0.9974999999999999
mooncake001,67,64,74,70,133,60,132,126,column,3221,3410,0,13326,40,0.9974999999999999
mooncake001,68,63,75,72,120,52,152,137,column,3298,3408,5104,15023,40,0.9974999999999999
mooncake006,62,59,73,71,186,77,205,228,column,2733,3767,11759,34884,150,0.84
mooncake006,65,62,69,69,192,78,203,209,column,2956,3379,12080,30270,150,0.84
mooncake003,65,62,73,72,115,66,138,147,column,3072,3583,3010,13324,40,1.1275
mooncake003,65,66,77,72,117,71,148,137,column,3192,3829,4116,14695,40,1.1275
mooncake004,65,64,71,71,137,60,141,153,column,3232,3596,6568,13294,40,1.045
mooncake002,65,65,65,62,114,63,123,139,column,3388,2885,5274,13217,30,1.46
mooncake002,66,62,65,63,122,67,112,123,column,3200,2603,5150,11062,30,1.46
mooncake002,67,62,66,63,123,63,131,136,column,3224,2679,4638,11408,30,1.46
litchi003,62,62,77,76,121,133,152,159,irregular,2988,4292,10959,17097,50,1.03
litchi003,65,65,78,72,129,125,153,160,irregular,3199,3918,11140,17462,50,1.03
litchi002,63,63,81,74,112,117,124,156,irregular,3096,4220,8628,9317,40,0.9949999999999999
litchi002,63,62,74,72,108,114,124,138,irregular,2795,3995,4571,12042,40,0.9949999999999999
litchi001,62,63,70,68,116,114,105,141,irregular,3199,3406,9075,10068,40,0.96
litchi001,64,61,77,72,104,113,142,137,irregular,3234,3953,8015,11721,40,0.96
litchi004,66,66,74,70,122,121,110,146,irregular,3324,3514,9906,10597,40,1.0225
litchi004,65,64,75,72,117,124,119,146,irregular,3037,3535,9374,11786,40,1.0225
litchi005,64,62,75,74,106,119,128,162,irregular,2854,4073,4420,13368,40,0.975
litchi005,65,64,79,79,115,118,144,154,irregular,3183,4751,8330,10576,40,0.975
lemon004,61,64,68,68,152,135,189,167,ellipsoid,2762,3062,13855,21939,100,0.9009999999999999
lemon004,62,63,73,76,152,142,173,230,ellipsoid,2684,3670,15022,25906,100,0.9009999999999999
lemon001,61,60,72,74,120,134,170,218,ellipsoid,2729,3913,11216,25342,100,0.9420000000000001
lemon001,60,60,71,68,145,132,153,211,ellipsoid,2635,3017,13119,24144,100,0.9420000000000001
lemon001,60,56,76,77,156,133,213,206,ellipsoid,2578,4164,13409,30001,100,0.9420000000000001
lemon003,67,60,71,70,148,161,173,203,ellipsoid,2744,3583,16076,23126,90,1.0255555555555556
lemon003,66,63,67,66,162,153,174,163,ellipsoid,2908,2975,16776,20835,90,1.0255555555555556
lemon003,62,61,66,67,139,156,168,165,ellipsoid,2923,2726,14769,20223,90,1.0255555555555556
lemon002,61,61,70,71,136,137,191,186,ellipsoid,2653,3487,12492,24643,100,0.975
lemon002,59,58,65,65,132,135,183,172,ellipsoid,2689,2948,12269,21406,100,0.975
lemon002,89,87,73,69,186,189,181,181,ellipsoid,5423,3220,27068,24413,100,0.975
lemon002,60,60,78,76,133,136,215,218,ellipsoid,2905,4421,12078,32008,100,0.975
sachima005,81,78,63,62,197,95,188,156,column,4445,2561,15130,156,150,0.21800000000000003
sachima005,80,79,71,68,203,93,222,194,column,4581,3188,97,37749,150,0.21800000000000003
sachima005,79,78,70,69,211,93,218,198,column,4509,3056,0,35204,150,0.21800000000000003
sachima005,80,79,77,81,207,98,245,210,column,4545,3903,17690,4663,150,0.21800000000000003
sachima002,80,77,68,65,225,114,197,202,column,4290,2937,23813,34544,150,0.21933333333333332
sachima002,78,77,69,67,224,117,218,178,column,4222,3058,23248,33801,150,0.21933333333333332
sachima002,77,74,75,72,243,108,195,237,column,4085,3663,22327,40860,150,0.21933333333333332
sachima001,75,72,67,66,210,103,206,189,column,3692,3047,20017,35493,170,0.2211764705882353
sachima001,77,72,57,59,185,105,163,195,column,4027,2406,17051,26911,170,0.2211764705882353
sachima003,78,74,65,64,208,107,176,198,column,4462,2845,19157,30548,140,0.20714285714285716
sachima003,78,75,71,69,216,101,183,204,column,4106,3283,18639,31761,140,0.20714285714285716
sachima004,74,71,63,59,214,111,180,180,column,4043,2460,19725,26773,150,0.22266666666666665
sachima004,68,67,63,60,182,94,179,190,column,3536,2634,13088,29959,150,0.22266666666666665
plum001,77,74,78,77,207,175,234,219,ellipsoid,3931,4221,28057,39344,150,1.012
plum001,78,73,83,79,200,180,242,221,ellipsoid,4023,4239,26656,43385,150,1.012
plum001,76,72,71,68,207,175,209,199,ellipsoid,3938,3194,28493,32151,150,1.012
plum001,80,74,80,76,190,160,229,220,ellipsoid,3838,4130,24947,42097,150,1.012
plum004,65,64,71,70,139,141,179,192,ellipsoid,3092,3701,14429,26375,100,1.069
plum004,64,63,78,76,156,127,208,194,ellipsoid,2968,4144,15654,30895,100,1.069
plum004,63,64,64,61,136,137,161,163,ellipsoid,3061,2906,13876,18188,100,1.069
plum004,65,64,69,68,160,129,191,158,ellipsoid,3064,3246,15095,22448,100,1.069
plum002,73,69,65,62,161,134,154,147,ellipsoid,3872,3103,16225,16882,100,0.907
plum002,73,70,78,74,148,142,196,184,ellipsoid,3898,3830,15517,26116,100,0.907
plum002,73,70,84,78,155,131,193,197,ellipsoid,3986,4168,6396,29103,100,0.907
plum003,70,68,74,71,149,140,178,187,ellipsoid,3470,3887,16350,25690,100,1.033
plum003,72,68,63,62,162,137,166,150,ellipsoid,3623,2565,15726,18913,100,1.033
plum003,71,68,70,70,159,132,174,181,ellipsoid,3513,3237,15669,23001,100,1.033
plum003,69,67,73,69,152,136,163,168,ellipsoid,3429,3550,15779,21218,100,1.033
tomato002,65,60,71,69,170,138,222,197,ellipsoid,27,3375,16845,34149,190,0.811578947368421
tomato002,61,60,80,74,169,137,216,215,ellipsoid,2773,4159,17464,36184,190,0.811578947368421
tomato002,65,61,72,71,165,133,228,208,ellipsoid,35,3550,16466,34212,190,0.811578947368421
tomato004,68,64,71,68,190,142,234,225,ellipsoid,3188,3594,21919,38619,160,1.08375
tomato004,68,64,71,69,203,140,240,218,ellipsoid,29,3248,22157,40965,160,1.08375
tomato004,68,67,68,66,185,126,218,211,ellipsoid,3260,3047,19597,35211,160,1.08375
tomato004,67,63,71,68,211,135,214,209,ellipsoid,3161,3440,21451,34807,160,1.08375
tomato004,69,65,65,64,215,142,216,200,ellipsoid,3286,2713,23796,31978,160,1.08375
tomato001,63,63,76,72,213,144,269,246,ellipsoid,3075,3655,23263,48304,210,1.0214285714285714
tomato001,64,60,74,71,211,138,278,250,ellipsoid,2861,3605,22729,52762,210,1.0214285714285714
tomato003,63,60,68,64,182,125,214,207,ellipsoid,32,135,18164,34424,180,1.0355555555555556
tomato003,61,59,67,66,192,129,227,205,ellipsoid,2739,3031,19411,33890,180,1.0355555555555556
tomato003,62,61,63,63,179,124,223,195,ellipsoid,2758,2760,17374,30734,180,1.0355555555555556
tomato003,62,61,66,62,178,130,203,206,ellipsoid,23,2656,18307,32741,180,1.0355555555555556
tomato003,61,60,67,65,191,122,240,209,ellipsoid,2669,2749,18506,38107,180,1.0355555555555556
tomato003,62,61,64,64,180,120,222,198,ellipsoid,2860,2744,17321,34114,180,1.0355555555555556
